task_id,track,epic,epic_name,title,area,description,expected_outputs,acceptance_criteria,dependencies,complexity,owner,status,created_at
85C66F75,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Typechecker — G1-03,Compiler,"Build 'typechecker' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['typechecker.rs_or_wasm', 'typechecker_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Finance,Planned,2025-10-04T18:34:41.528413
C65F2FAD,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Ir-Ssa — G1-04,Compiler,"Build 'ir-ssa' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['ir-ssa.rs_or_wasm', 'ir-ssa_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
906AE2DD,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Fsm-Normalizer — G1-05,Compiler,"Build 'fsm-normalizer' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['fsm-normalizer.rs_or_wasm', 'fsm-normalizer_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Fed,Planned,2025-10-04T18:34:41.528413
E15FAA35,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Effect-System — G1-06,Compiler,"Build 'effect-system' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['effect-system.rs_or_wasm', 'effect-system_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-QA,Planned,2025-10-04T18:34:41.528413
67D470D3,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Error-Model — G1-07,Compiler,"Build 'error-model' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['error-model.rs_or_wasm', 'error-model_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Docs,Planned,2025-10-04T18:34:41.528413
5EBE922A,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Policy-Nodes — G1-08,Compiler,"Build 'policy-nodes' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['policy-nodes.rs_or_wasm', 'policy-nodes_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Policy,Planned,2025-10-04T18:34:41.528413
23CABB3D,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Guard-Ir — G1-09,Compiler,"Build 'guard-ir' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['guard-ir.rs_or_wasm', 'guard-ir_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Fed,Planned,2025-10-04T18:34:41.528413
C70C8C7E,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Router-Ir — G1-10,Compiler,"Build 'router-ir' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['router-ir.rs_or_wasm', 'router-ir_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Docs,Planned,2025-10-04T18:34:41.528413
930D8A57,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Enzyme-Ir — G1-11,Compiler,"Build 'enzyme-ir' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['enzyme-ir.rs_or_wasm', 'enzyme-ir_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Docs,Planned,2025-10-04T18:34:41.528413
0C5B805A,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Api-Ir — G1-12,Compiler,"Build 'api-ir' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['api-ir.rs_or_wasm', 'api-ir_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Engine,Planned,2025-10-04T18:34:41.528413
773FF42E,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Partial-Eval — G2-01,Compiler,Build 'partial-eval' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['partial-eval.rs_or_wasm', 'partial-eval_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Docs,Planned,2025-10-04T18:34:41.528413
2201FCF0,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Dead-Branch-Elim — G2-02,Compiler,Build 'dead-branch-elim' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['dead-branch-elim.rs_or_wasm', 'dead-branch-elim_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
5930C038,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Const-Folding — G2-03,Compiler,Build 'const-folding' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['const-folding.rs_or_wasm', 'const-folding_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Policy,Planned,2025-10-04T18:34:41.528413
FA445559,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Guard-Specialization — G2-04,Compiler,Build 'guard-specialization' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['guard-specialization.rs_or_wasm', 'guard-specialization_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Docs,Planned,2025-10-04T18:34:41.528413
36659CC2,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Policy-Inlining — G2-05,Compiler,Build 'policy-inlining' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['policy-inlining.rs_or_wasm', 'policy-inlining_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Fed,Planned,2025-10-04T18:34:41.528413
9DDA0A48,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Shape-Prop — G2-06,Compiler,Build 'shape-prop' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['shape-prop.rs_or_wasm', 'shape-prop_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Policy,Planned,2025-10-04T18:34:41.528413
B7B04797,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Idempotency-Proofs — G2-07,Compiler,Build 'idempotency-proofs' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['idempotency-proofs.rs_or_wasm', 'idempotency-proofs_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Infra,Planned,2025-10-04T18:34:41.528413
E900D57D,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Layout-Planner — G2-08,Compiler,Build 'layout-planner' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['layout-planner.rs_or_wasm', 'layout-planner_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Policy,Planned,2025-10-04T18:34:41.528413
BE8AFAB7,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Index-Planner — G2-09,Compiler,Build 'index-planner' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['index-planner.rs_or_wasm', 'index-planner_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-QA,Planned,2025-10-04T18:34:41.528413
CF73863D,Greenfield #4 (Benchmark DSL),G2,Optimizer & Partial Evaluation,Cost-Model — G2-10,Compiler,Build 'cost-model' for Optimizer & Partial Evaluation with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['cost-model.rs_or_wasm', 'cost-model_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Compiler,Planned,2025-10-04T18:34:41.528413
731AE533,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Wasm-Backend — G3-01,Compiler,"Build 'wasm-backend' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['wasm-backend.rs_or_wasm', 'wasm-backend_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Finance,Planned,2025-10-04T18:34:41.528413
9F9F050B,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Rustgen-Backend — G3-02,Compiler,"Build 'rustgen-backend' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['rustgen-backend.rs_or_wasm', 'rustgen-backend_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Finance,Planned,2025-10-04T18:34:41.528413
E7154A3E,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Jit-Linker — G3-03,Compiler,"Build 'jit-linker' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['jit-linker.rs_or_wasm', 'jit-linker_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Fed,Planned,2025-10-04T18:34:41.528413
37C6A943,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Aot-Cache — G3-04,Compiler,"Build 'aot-cache' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['aot-cache.rs_or_wasm', 'aot-cache_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Fed,Planned,2025-10-04T18:34:41.528413
E5E46F07,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Rtlib-Min — G3-05,Compiler,"Build 'rtlib-min' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['rtlib-min.rs_or_wasm', 'rtlib-min_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Engine,Planned,2025-10-04T18:34:41.528413
6658D9B6,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Vectorized-Json — G3-06,Compiler,"Build 'vectorized-json' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['vectorized-json.rs_or_wasm', 'vectorized-json_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Engine,Planned,2025-10-04T18:34:41.528413
C6D71CAC,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Simd-Validate — G3-07,Compiler,"Build 'simd-validate' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['simd-validate.rs_or_wasm', 'simd-validate_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-QA,Planned,2025-10-04T18:34:41.528413
9E017EFA,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Event-Batching — G3-08,Compiler,"Build 'event-batching' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['event-batching.rs_or_wasm', 'event-batching_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Fed,Planned,2025-10-04T18:34:41.528413
9F328F49,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Lock-Free-Queues — G3-09,Compiler,"Build 'lock-free-queues' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['lock-free-queues.rs_or_wasm', 'lock-free-queues_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-QA,Planned,2025-10-04T18:34:41.528413
81CAFC49,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Ring-Buffers — G3-10,Compiler,"Build 'ring-buffers' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['ring-buffers.rs_or_wasm', 'ring-buffers_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",5,LLL-Compiler,Planned,2025-10-04T18:34:41.528413
07CFCB55,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Arena-Alloc — G3-11,Compiler,"Build 'arena-alloc' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['arena-alloc.rs_or_wasm', 'arena-alloc_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Fed,Planned,2025-10-04T18:34:41.528413
73165535,Greenfield #4 (Benchmark DSL),G3,"AOT Backends (WASM, Rust/C)",Zero-Copy-Pipeline — G3-12,Compiler,"Build 'zero-copy-pipeline' for AOT Backends (WASM, Rust/C) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['zero-copy-pipeline.rs_or_wasm', 'zero-copy-pipeline_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Engine,Planned,2025-10-04T18:34:41.528413
6103D852,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Deterministic-Clock — G4-01,Security,Build 'deterministic-clock' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['deterministic-clock.rs_or_wasm', 'deterministic-clock_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Policy,Planned,2025-10-04T18:34:41.528413
A29D2163,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Seeded-Rand — G4-02,Security,Build 'seeded-rand' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['seeded-rand.rs_or_wasm', 'seeded-rand_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
DD5ECB4C,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Capability-Tokens — G4-03,Security,Build 'capability-tokens' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['capability-tokens.rs_or_wasm', 'capability-tokens_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Fed,Planned,2025-10-04T18:34:41.528413
89E751BE,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Sandbox-Limits — G4-04,Security,Build 'sandbox-limits' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['sandbox-limits.rs_or_wasm', 'sandbox-limits_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Infra,Planned,2025-10-04T18:34:41.528413
109F471F,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Side-Effect-Gates — G4-05,Security,Build 'side-effect-gates' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['side-effect-gates.rs_or_wasm', 'side-effect-gates_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",4,LLL-Infra,Planned,2025-10-04T18:34:41.528413
2AC7ED5A,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Provenance-Core — G4-06,Security,Build 'provenance-core' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['provenance-core.rs_or_wasm', 'provenance-core_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
56EA9D35,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Audit-Worm — G4-07,Security,Build 'audit-worm' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['audit-worm.rs_or_wasm', 'audit-worm_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
16E1810C,Greenfield #4 (Benchmark DSL),G4,Determinism & Sandbox,Threat-Model — G4-08,Security,Build 'threat-model' for Determinism & Sandbox with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['threat-model.rs_or_wasm', 'threat-model_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']","5D87D2CD,2C9C95E4,C08BC26A,2962122B,CB9C9B3C,85C66F75,773FF42E,2201FCF0,5930C038",3,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
